"schlid","studid","tchrid","math","year"
15,1,83,609,-1
15,1,104,592,0
15,1,135,638,1
15,2,83,586,-1
15,2,104,592,0
15,2,185,629,1
15,3,114,561,0
15,3,135,584,1
15,4,83,593,-1
15,4,114,621,0
15,4,135,629,1
15,5,83,609,-1
15,5,114,608,0
15,5,135,655,1
15,6,83,609,-1
15,6,104,624,0
15,6,185,645,1
15,7,83,535,-1
15,8,83,576,-1
15,9,83,559,-1
15,9,104,598,0
15,9,185,614,1
15,10,83,638,-1
15,10,135,675,1
15,11,83,609,-1
15,11,104,598,0
15,13,83,579,-1
15,13,104,579,0
15,13,185,626,1
15,14,83,600,-1
15,14,114,643,0
15,14,135,675,1
15,16,83,569,-1
15,16,104,553,0
15,16,185,605,1
15,17,83,593,-1
15,17,135,638,1
15,18,83,660,-1
15,18,114,643,0
15,18,135,697,1
15,19,104,539,0
15,19,135,632,1
15,20,114,617,0
15,20,135,645,1
15,21,83,566,-1
15,21,185,648,1
15,22,83,531,-1
15,23,104,621,0
15,23,185,655,1
15,24,93,579,-1
15,24,114,628,0
15,25,93,566,-1
15,26,93,600,-1
15,26,114,621,0
15,26,135,666,1
15,27,114,585,0
15,27,135,608,1
15,29,93,539,-1
15,29,114,565,0
15,29,185,605,1
15,30,93,569,-1
15,30,114,643,0
15,30,135,666,1
15,31,93,539,-1
15,32,93,553,-1
15,32,104,617,0
15,32,185,642,1
15,33,104,565,0
15,34,114,601,0
15,34,135,659,1
15,35,93,573,-1
15,35,104,628,0
15,35,185,632,1
15,37,114,539,0
15,37,185,587,1
15,38,93,569,-1
15,39,93,604,-1
15,39,114,635,0
15,39,135,655,1
15,41,93,549,-1
15,42,104,608,0
15,43,93,600,-1
15,44,93,549,-1
15,45,93,609,-1
15,45,104,621,0
15,46,83,589,-1
15,46,104,561,0
15,46,185,632,1
15,101,114,528,0
15,101,135,587,1
15,103,114,568,0
15,103,135,605,1
15,105,114,598,0
15,106,104,683,0
15,106,185,724,1
40,153,293,632,-1
40,153,365,655,1
40,154,274,648,0
40,154,293,645,-1
40,154,355,705,1
40,155,274,544,0
40,156,324,663,0
40,156,355,697,1
40,157,293,589,-1
40,157,365,595,1
40,158,324,544,0
40,159,324,657,0
40,159,355,705,1
40,161,274,557,0
40,162,264,568,0
40,163,324,692,0
40,163,355,713,1
40,164,274,588,0
40,164,293,559,-1
40,166,293,556,-1
40,166,324,595,0
40,167,274,579,0
40,167,293,563,-1
40,168,293,670,-1
40,168,324,595,0
40,171,293,699,-1
40,171,324,635,0
40,171,365,659,1
40,173,274,544,0
40,173,293,576,-1
40,174,264,604,0
40,174,313,579,-1
40,174,425,652,1
40,176,264,585,0
40,176,355,666,1
40,178,264,614,0
40,178,313,586,-1
40,179,264,585,0
40,179,313,583,-1
40,179,425,595,1
40,180,313,627,-1
40,180,324,608,0
40,180,365,632,1
40,182,274,565,0
40,183,264,611,0
40,183,313,589,-1
40,183,365,645,1
40,184,324,657,0
40,184,365,662,1
40,185,274,575,0
40,186,264,663,0
40,186,313,645,-1
40,186,365,685,1
40,187,313,645,-1
40,188,313,613,-1
40,188,324,635,0
40,188,425,642,1
40,189,264,568,0
40,191,313,593,-1
40,191,425,629,1
40,192,313,589,-1
40,193,264,617,0
40,194,274,614,0
40,194,365,626,1
40,195,264,568,0
40,195,313,553,-1
40,195,355,584,1
40,198,324,611,0
40,198,425,652,1
40,199,303,645,-1
40,200,264,643,0
40,200,303,604,-1
40,203,264,617,0
40,204,303,569,-1
40,204,365,591,1
40,205,274,572,0
40,205,303,583,-1
40,206,303,589,-1
40,206,324,611,0
40,207,274,582,0
40,207,303,542,-1
40,207,365,620,1
40,208,303,589,-1
40,208,324,639,0
40,208,425,675,1
40,209,264,521,0
40,210,264,539,0
40,211,303,609,-1
40,211,365,614,1
40,213,303,600,-1
40,215,303,638,-1
40,216,324,539,0
40,217,303,576,-1
40,218,303,573,-1
40,219,303,597,-1
40,219,324,611,0
40,220,293,546,-1
40,221,293,597,-1
40,221,365,652,1
40,277,355,635,1
40,279,365,614,1
40,280,274,568,0
40,281,274,568,0
40,282,264,561,0
40,283,425,598,1
40,286,324,588,0
40,286,355,598,1
40,287,264,639,0
60,2186,2383,593,-1
60,2186,2414,652,0
60,2187,2383,563,-1
60,2188,2383,652,-1
60,2188,2444,675,0
60,2189,2383,627,-1
60,2190,2383,589,-1
60,2191,2383,593,-1
60,2191,2414,635,0
60,2194,2383,553,-1
60,2195,2383,627,-1
60,2195,2414,657,0
60,2196,2383,589,-1
60,2196,2414,631,0
60,2197,2444,575,0
60,2198,2383,613,-1
60,2198,2414,639,0
60,2199,2383,600,-1
60,2200,2383,556,-1
60,2200,2444,611,0
60,2201,2383,546,-1
60,2202,2383,617,-1
60,2202,2444,611,0
60,2204,2383,609,-1
60,2204,2414,617,0
60,2205,2383,682,-1
60,2205,2444,692,0
60,2206,2383,553,-1
60,2206,2444,592,0
60,2207,2393,597,-1
60,2208,2393,559,-1
60,2208,2444,604,0
60,2209,2393,576,-1
60,2209,2444,595,0
60,2210,2393,586,-1
60,2211,2393,556,-1
60,2212,2393,670,-1
60,2212,2444,663,0
60,2213,2393,652,-1
60,2213,2414,675,0
60,2214,2393,589,-1
60,2214,2414,585,0
60,2215,2393,563,-1
60,2216,2393,566,-1
60,2216,2414,604,0
60,2217,2393,586,-1
60,2217,2414,568,0
60,2218,2393,660,-1
60,2218,2414,683,0
60,2219,2444,604,0
60,2220,2393,559,-1
60,2220,2414,585,0
60,2221,2393,586,-1
60,2221,2444,592,0
60,2222,2393,576,-1
60,2223,2393,600,-1
60,2224,2393,617,-1
60,2224,2414,631,0
60,2225,2393,539,-1
60,2225,2414,575,0
60,2226,2393,593,-1
60,2227,2393,514,-1
60,2227,2444,534,0
60,2228,2393,652,-1
60,2228,2444,683,0
60,2229,2393,617,-1
60,2229,2444,703,0
60,2230,2383,531,-1
60,2230,2414,539,0
60,2264,2444,624,0
60,2265,2444,582,0
60,2266,2444,683,0
60,2268,2444,595,0
60,2269,2444,568,0
60,2271,2444,628,0
26,2334,2573,569,-1
26,2335,2573,579,-1
26,2335,2624,598,0
26,2335,2765,623,1
26,2336,2573,535,-1
26,2336,2684,582,0
26,2337,2573,627,-1
26,2339,2573,539,-1
26,2340,2573,589,-1
26,2340,2694,639,0
26,2342,2573,566,-1
26,2343,2573,645,-1
26,2343,2624,643,0
26,2344,2573,632,-1
26,2344,2624,643,0
26,2345,2604,595,0
26,2345,2645,655,1
26,2347,2573,589,-1
26,2348,2573,539,-1
26,2348,2645,605,1
26,2348,2684,582,0
26,2349,2573,531,-1
26,2349,2694,561,0
26,2350,2573,549,-1
26,2350,2694,579,0
26,2351,2485,645,1
26,2351,2573,583,-1
26,2351,2684,631,0
26,2353,2583,645,-1
26,2354,2604,675,0
26,2355,2573,523,-1
26,2355,2645,629,1
26,2355,2694,582,0
26,2356,2573,576,-1
26,2356,2645,638,1
26,2356,2694,621,0
26,2357,2573,519,-1
26,2357,2604,572,0
26,2358,2485,620,1
