"studid","tchrid","math","year"
13099,14433,631,-1
13100,14433,596,-1
13100,14484,575,0
13100,14755,591,1
13101,14433,615,-1
13101,14494,590,0
13102,14433,621,-1
13102,14494,624,0
13102,14545,611,1
13103,14433,604,-1
13103,14494,613,0
13104,14405,685,1
13104,14433,656,-1
13104,14694,633,0
13105,14433,593,-1
13105,14494,638,0
13105,14545,620,1
13106,14433,621,-1
13106,14494,638,0
13106,14545,629,1
13107,14433,598,-1
13107,14494,633,0
13107,14545,620,1
13108,14433,646,-1
13109,14433,627,-1
13110,14433,536,-1
13111,14433,606,-1
13111,14494,646,0
13112,14433,577,-1
13113,14433,604,-1
13114,14433,642,-1
13114,14494,666,0
13114,14545,705,1
13115,14433,598,-1
13115,14494,617,0
13115,14545,626,1
13116,14494,615,0
13116,14545,638,1
13117,14433,596,-1
13117,14494,628,0
13117,14545,635,1
13118,14433,579,-1
13118,14494,563,0
13119,14433,586,-1
13119,14494,604,0
13119,14545,642,1
13120,14433,563,-1
13120,14494,594,0
13121,14433,624,-1
13121,14494,598,0
13121,14545,605,1
13122,14433,627,-1
13122,14494,633,0
13122,14545,638,1
13123,14433,591,-1
13124,14433,567,-1
13124,14494,626,0
13124,14755,620,1
13125,14433,591,-1
13126,14443,546,-1
13127,14443,544,-1
13127,14484,565,0
13127,14755,571,1
13128,14443,546,-1
13129,14443,539,-1
13130,14443,588,-1
13130,14494,633,0
13130,14545,614,1
13131,14443,584,-1
13131,14484,575,0
13131,14755,595,1
13132,14443,546,-1
13132,14484,587,0
13132,14755,601,1
13133,14443,588,-1
13134,14443,570,-1
13134,14484,568,0
13134,14755,598,1
13135,14443,536,-1
13135,14494,613,0
13135,14755,584,1
13136,14443,554,-1
13136,14484,555,0
13136,14755,575,1
13137,14443,558,-1
13137,14484,592,0
13137,14755,626,1
13138,14443,638,-1
13138,14494,646,0
13138,14545,642,1
13139,14443,567,-1
13140,14443,541,-1
13141,14443,516,-1
13142,14443,539,-1
13142,14484,579,0
13143,14443,534,-1
13143,14484,531,0
13143,14755,605,1
13144,14443,593,-1
13144,14484,606,0
13144,14755,617,1
13145,14443,513,-1
13145,14484,579,0
13145,14755,591,1
13146,14443,544,-1
13147,14443,544,-1
13147,14484,585,0
13147,14755,571,1
13148,14443,544,-1
13148,14484,572,0
13148,14755,580,1
13149,14443,534,-1
13149,14484,575,0
13149,14755,580,1
13150,14443,591,-1
13150,14484,608,0
13151,14443,593,-1
13152,14405,626,1
13152,14453,591,-1
13152,14694,604,0
13153,14405,648,1
13153,14453,572,-1
13153,14694,585,0
13154,14405,645,1
13154,14453,577,-1
13154,14694,596,0
13155,14453,598,-1
13155,14694,646,0
13156,14453,572,-1
13156,14694,643,0
13157,14453,609,-1
13158,14453,558,-1
13158,14694,581,0
13159,14453,572,-1
13160,14405,655,1
13160,14453,604,-1
13160,14694,617,0
13162,14453,584,-1
13163,14405,659,1
13163,14453,593,-1
13163,14694,585,0
13164,14405,697,1
13164,14453,627,-1
13164,14694,641,0
13165,14405,638,1
13165,14453,593,-1
13165,14694,617,0
13166,14405,675,1
13166,14453,618,-1
13166,14694,631,0
13167,14453,596,-1
13167,14694,604,0
13168,14405,662,1
13168,14453,609,-1
13168,14694,600,0
13169,14453,604,-1
13169,14694,602,0
13170,14453,634,-1
13170,14694,678,0
13171,14453,609,-1
13172,14453,570,-1
13172,14694,598,0
13173,14405,671,1
13173,14453,615,-1
13173,14694,662,0
13174,14453,563,-1
13175,14405,685,1
13175,14453,615,-1
13175,14694,636,0
13176,14405,652,1
13176,14453,598,-1
13176,14694,628,0
13177,14453,661,-1
13178,14405,680,1
13178,14453,618,-1
13178,14694,643,0
13179,14405,620,1
13179,14453,565,-1
13179,14694,583,0
13180,14575,620,1
13186,14575,605,1
13188,14575,617,1
13191,14575,591,1
13192,14575,626,1
13195,14575,601,1
13196,14575,608,1
13200,14575,635,1
13201,14473,522,-1
13202,14473,528,-1
13203,14473,534,-1
13204,14473,531,-1
13206,14473,516,-1
13208,14523,510,-1
13304,14575,571,1
13305,14484,581,0
13307,14494,610,0
13307,14545,611,1
13309,14494,628,0
13311,14545,611,1
13311,14694,600,0
13312,14694,617,0
13313,14494,674,0
13313,14545,638,1
13314,14494,652,0
13315,14494,646,0
13316,14484,598,0
13317,14484,587,0
13318,14484,615,0
13319,14494,633,0
13319,14545,623,1
13320,14484,590,0
13320,14545,642,1
13321,14484,598,0
13321,14755,584,1
13322,14484,592,0
13322,14755,614,1
13323,14484,581,0
13323,14755,632,1
13334,14494,624,0
13335,14494,619,0
13335,14545,611,1
13336,14484,547,0
13336,14545,587,1
13337,14484,572,0
13337,14755,587,1
13338,14405,642,1
13338,14694,636,0
13339,14694,592,0
13340,14694,641,0
13342,14494,619,0
13344,14484,594,0
13344,14755,629,1
13345,14484,613,0
13346,14755,608,1
